num_cores,n_tasks,target_utilization,scheduling_type,scheduling_policy,allocation_policy,avg_response_time_cf,avg_response_time_milp,schedulability_ratio_cf,schedulability_ratio_milp,total_utilization,analysis_overhead
4,10,0.25,Global,FIFO,,170.26473537293276,16.76022354174132,1.0,1.0,0.25,0.004345893859863281
4,10,0.25,Partitioned,FIFO,First-Fit Decreasing,80.2165487893207,17.58365966637316,1.0,1.0,0.24999999999999994,0.0037031173706054688
4,10,0.25,Partitioned,FIFO,Best-Fit Decreasing,80.2165487893207,17.58365966637316,1.0,1.0,0.24999999999999994,0.0035941600799560547
4,10,0.25,Partitioned,FIFO,Worst-Fit Decreasing,76.59089751690429,17.58365966637316,1.0,1.0,0.24999999999999994,0.003696918487548828
4,10,0.25,Partitioned,FIFO,Round-Robin,73.46519302190423,17.58365966637316,1.0,1.0,0.24999999999999994,0.0037801265716552734
4,10,0.25,Global,HEFT,,143.36840145848268,14.754757980281587,0.8,1.0,0.25,0.003995180130004883
4,10,0.25,Partitioned,HEFT,First-Fit Decreasing,87.73855781668911,15.736424450181662,1.0,1.0,0.24999999999999997,0.004068613052368164
4,10,0.25,Partitioned,HEFT,Best-Fit Decreasing,87.73855781668911,15.736424450181662,1.0,1.0,0.24999999999999997,0.004090309143066406
4,10,0.25,Partitioned,HEFT,Worst-Fit Decreasing,84.2269751557815,15.736424450181662,1.0,1.0,0.24999999999999997,0.004008769989013672
4,10,0.25,Partitioned,HEFT,Round-Robin,85.42625606470833,15.736424450181662,1.0,1.0,0.24999999999999997,0.004042148590087891
4,10,0.25,Global,LDF,,168.28048806756973,20.594563180329324,1.0,1.0,0.24999999999999997,0.0036399364471435547
4,10,0.25,Partitioned,LDF,First-Fit Decreasing,77.06335952921727,22.79877135731609,1.0,1.0,0.25,0.004225492477416992
4,10,0.25,Partitioned,LDF,Best-Fit Decreasing,77.06335952921727,22.79877135731609,1.0,1.0,0.25,0.004225015640258789
4,10,0.25,Partitioned,LDF,Worst-Fit Decreasing,74.43163892953044,22.79877135731609,1.0,1.0,0.25,0.004155874252319336
4,10,0.25,Partitioned,LDF,Round-Robin,73.94343947475286,22.79877135731609,1.0,1.0,0.25,0.004086494445800781
4,10,0.5,Global,FIFO,,402.96185858711385,44.65630185139598,0.7,1.0,0.49999999999999983,0.004120826721191406
4,10,0.5,Partitioned,FIFO,First-Fit Decreasing,136.65580693996662,27.238142707336685,0.8,1.0,0.5,0.0036966800689697266
4,10,0.5,Partitioned,FIFO,Best-Fit Decreasing,136.65580693996662,27.238142707336685,0.8,1.0,0.5,0.003723621368408203
4,10,0.5,Partitioned,FIFO,Worst-Fit Decreasing,136.58909554839292,27.238142707336685,0.8,1.0,0.5,0.003603219985961914
4,10,0.5,Partitioned,FIFO,Round-Robin,136.58909554839292,27.238142707336685,0.8,1.0,0.5,0.003846406936645508
4,10,0.5,Global,HEFT,,365.36960914696976,41.41754843714668,0.7,1.0,0.5000000000000001,0.004030704498291016
4,10,0.5,Partitioned,HEFT,First-Fit Decreasing,141.95152759695708,25.604424321313598,0.7,1.0,0.5000000000000001,0.004021644592285156
4,10,0.5,Partitioned,HEFT,Best-Fit Decreasing,141.95152759695708,25.604424321313598,0.7,1.0,0.5000000000000001,0.004080057144165039
4,10,0.5,Partitioned,HEFT,Worst-Fit Decreasing,144.59312222592695,25.604424321313598,0.7,1.0,0.5000000000000001,0.004132747650146484
4,10,0.5,Partitioned,HEFT,Round-Robin,144.59312222592695,25.604424321313598,0.7,1.0,0.5000000000000001,0.004105806350708008
4,10,0.5,Global,LDF,,134.4495664217176,16.661799628771064,1.0,1.0,0.5,0.004065036773681641
4,10,0.5,Partitioned,LDF,First-Fit Decreasing,133.09377947988727,36.889176769911316,1.0,1.0,0.49999999999999994,0.0045011043548583984
4,10,0.5,Partitioned,LDF,Best-Fit Decreasing,133.09377947988727,36.889176769911316,1.0,1.0,0.49999999999999994,0.0045413970947265625
4,10,0.5,Partitioned,LDF,Worst-Fit Decreasing,129.61317105844108,36.889176769911316,1.0,1.0,0.49999999999999994,0.004515409469604492
4,10,0.5,Partitioned,LDF,Round-Robin,129.656262492697,36.889176769911316,1.0,1.0,0.49999999999999994,0.0044879913330078125
4,10,0.75,Global,FIFO,,543.8529975379017,53.90128246324633,0.5,1.0,0.7500000000000002,0.004020214080810547
4,10,0.75,Partitioned,FIFO,First-Fit Decreasing,222.9624272189294,44.30463467860487,0.9,1.0,0.75,0.0032050609588623047
4,10,0.75,Partitioned,FIFO,Best-Fit Decreasing,222.9624272189294,44.30463467860487,0.9,1.0,0.75,0.003238677978515625
4,10,0.75,Partitioned,FIFO,Worst-Fit Decreasing,211.67058390119996,44.30463467860487,0.9,1.0,0.75,0.003175497055053711
